downtime_id,machine_id,machine_name,plant,shift,downtime_start,duration_minutes,reason_code,is_planned,cost_of_downtime_usd,reported_by,work_order_id
DT-000061,MCH-014,Stamping Press 2,Detroit Plant,Night,2026-03-19 09:07:34,240,Tooling Change,False,3474.73,analyst2@michiganauto.com,WO-82201
DT-000062,MCH-014,Stamping Press 2,Lansing Plant,Afternoon,2025-12-08 05:03:34,30,Quality Hold,False,4955.29,hse.mgr@michiganauto.com,WO-84864
DT-000063,MCH-001,Press Line A,Detroit Plant,Night,2025-07-20 14:42:34,15,Mechanical Failure,False,1756.81,ops.lead@michiganauto.com,WO-30202
DT-000064,MCH-012,CNC Mill 3,Lansing Plant,Night,2026-01-07 10:48:34,15,Unknown,True,3459.28,finance@michiganauto.com,WO-16148
DT-000065,MCH-001,Press Line A,Lansing Plant,Afternoon,2025-10-02 18:08:34,120,Material Shortage,False,2282.47,maint.mgr@michiganauto.com,WO-82302
DT-000066,MCH-008,Assembly Line 2,Lansing Plant,Night,2025-11-09 09:29:34,15,Electrical Fault,True,1761.6,exec.admin@michiganauto.com,
DT-000067,MCH-020,Quality Gate 1,Detroit Plant,Night,2025-08-22 01:13:34,60,Material Shortage,False,2417.12,ops.lead@michiganauto.com,WO-36007
DT-000068,MCH-020,Quality Gate 1,Flint Plant,Morning,2025-07-11 08:44:34,120,Power Outage,False,2044.56,finance@michiganauto.com,WO-41040
DT-000069,MCH-020,Quality Gate 1,Flint Plant,Night,2025-09-15 10:53:34,15,Mechanical Failure,False,4171.16,analyst2@michiganauto.com,WO-90172
DT-000070,MCH-009,Assembly Line 3,Flint Plant,Morning,2026-03-12 00:07:34,60,Operator Break,False,697.15,kwhite@michiganauto.com,
DT-000071,MCH-006,Paint Booth Beta,Detroit Plant,Afternoon,2026-02-09 11:52:34,15,Power Outage,False,4290.8,maint.mgr@michiganauto.com,
DT-000072,MCH-017,Conveyor Belt 1,Detroit Plant,Morning,2025-12-16 08:29:34,5,Setup & Changeover,False,2933.78,ops.lead@michiganauto.com,
DT-000073,MCH-020,Quality Gate 1,Flint Plant,Night,2025-10-13 10:48:34,15,Setup & Changeover,False,1164.38,analyst1@michiganauto.com,WO-25848
DT-000074,MCH-012,CNC Mill 3,Lansing Plant,Morning,2025-06-23 14:21:34,5,Scheduled Maintenance,False,4919.15,hse.mgr@michiganauto.com,WO-63220
DT-000075,MCH-018,Conveyor Belt 2,Detroit Plant,Afternoon,2025-07-07 17:25:34,5,Scheduled Maintenance,True,664.08,maint.mgr@michiganauto.com,WO-48870
DT-000076,MCH-017,Conveyor Belt 1,Detroit Plant,Afternoon,2025-08-29 08:02:34,15,Power Outage,False,1705.1,analyst1@michiganauto.com,WO-26518
DT-000077,MCH-001,Press Line A,Lansing Plant,Night,2025-10-30 23:37:34,30,Electrical Fault,True,181.0,finance@michiganauto.com,
DT-000078,MCH-018,Conveyor Belt 2,Lansing Plant,Morning,2026-04-18 07:09:34,60,Material Shortage,True,3911.34,kwhite@michiganauto.com,WO-50925
DT-000079,MCH-016,Robotic Arm B,Detroit Plant,Night,2025-08-06 13:36:34,15,Electrical Fault,True,1481.93,analyst1@michiganauto.com,
DT-000080,MCH-013,Stamping Press 1,Flint Plant,Night,2025-10-26 23:32:34,15,Quality Hold,True,1185.12,maint.mgr@michiganauto.com,
DT-000081,MCH-005,Paint Booth Alpha,Detroit Plant,Night,2026-02-24 14:05:34,5,Quality Hold,False,3639.69,maint.mgr@michiganauto.com,
DT-000082,MCH-008,Assembly Line 2,Detroit Plant,Morning,2026-03-25 09:38:34,30,Scheduled Maintenance,False,3062.49,maint.mgr@michiganauto.com,
DT-000083,MCH-015,Robotic Arm A,Lansing Plant,Night,2025-12-09 16:34:34,5,Power Outage,True,1291.34,analyst2@michiganauto.com,
DT-000084,MCH-016,Robotic Arm B,Lansing Plant,Afternoon,2025-08-25 13:17:34,5,Setup & Changeover,False,4924.61,finance@michiganauto.com,WO-51748
DT-000085,MCH-009,Assembly Line 3,Lansing Plant,Afternoon,2026-04-02 04:40:34,60,Quality Hold,True,4279.84,hse.mgr@michiganauto.com,WO-95915
DT-000086,MCH-001,Press Line A,Detroit Plant,Afternoon,2025-09-16 09:22:34,5,Scheduled Maintenance,False,3715.87,ops.lead@michiganauto.com,
DT-000087,MCH-008,Assembly Line 2,Flint Plant,Morning,2026-02-02 03:20:34,240,Unknown,False,2892.59,maint.mgr@michiganauto.com,WO-45723
DT-000088,MCH-015,Robotic Arm A,Flint Plant,Night,2026-02-06 16:50:34,60,Tooling Change,True,4560.89,analyst2@michiganauto.com,WO-83211
DT-000089,MCH-013,Stamping Press 1,Detroit Plant,Night,2025-07-20 16:23:34,120,Quality Hold,False,1935.46,kwhite@michiganauto.com,WO-64871
DT-000090,MCH-019,Inspection Station,Flint Plant,Night,2026-01-01 02:24:34,15,Unknown,False,768.89,hse.mgr@michiganauto.com,
DT-000091,MCH-016,Robotic Arm B,Detroit Plant,Afternoon,2025-10-30 22:59:34,15,Scheduled Maintenance,False,1633.93,exec.admin@michiganauto.com,WO-40761
DT-000092,MCH-001,Press Line A,Lansing Plant,Afternoon,2026-01-14 11:06:34,30,Unknown,False,1817.56,ds.lead@michiganauto.com,
DT-000093,MCH-019,Inspection Station,Lansing Plant,Night,2026-05-10 02:58:34,15,Setup & Changeover,False,4576.9,exec.admin@michiganauto.com,WO-47694
DT-000094,MCH-004,Welding Station 2,Detroit Plant,Afternoon,2025-07-02 08:11:34,30,Scheduled Maintenance,False,114.71,kwhite@michiganauto.com,
DT-000095,MCH-019,Inspection Station,Flint Plant,Morning,2026-03-24 12:25:34,15,Operator Break,False,164.41,kwhite@michiganauto.com,
DT-000096,MCH-006,Paint Booth Beta,Detroit Plant,Afternoon,2026-02-24 06:34:34,30,Material Shortage,False,4257.91,exec.admin@michiganauto.com,WO-88013
DT-000097,MCH-006,Paint Booth Beta,Flint Plant,Afternoon,2026-01-14 00:27:34,15,Scheduled Maintenance,True,1198.6,kwhite@michiganauto.com,WO-87838
DT-000098,MCH-009,Assembly Line 3,Lansing Plant,Morning,2026-02-03 06:56:34,15,Scheduled Maintenance,False,4459.69,maint.mgr@michiganauto.com,WO-58512
DT-000099,MCH-014,Stamping Press 2,Flint Plant,Afternoon,2025-12-18 22:26:34,15,Setup & Changeover,False,3032.94,ds.lead@michiganauto.com,
DT-000100,MCH-008,Assembly Line 2,Lansing Plant,Night,2025-05-26 09:33:34,5,Scheduled Maintenance,False,4946.95,hse.mgr@michiganauto.com,
DT-000101,MCH-011,CNC Mill 2,Lansing Plant,Afternoon,2025-11-21 11:56:34,15,Power Outage,False,2272.52,analyst1@michiganauto.com,
DT-000102,MCH-004,Welding Station 2,Detroit Plant,Morning,2025-07-13 07:13:34,60,Scheduled Maintenance,True,3959.91,exec.admin@michiganauto.com,WO-69901
DT-000103,MCH-016,Robotic Arm B,Flint Plant,Morning,2025-07-19 07:42:34,5,Unknown,True,859.41,exec.admin@michiganauto.com,
DT-000104,MCH-005,Paint Booth Alpha,Flint Plant,Morning,2026-04-04 21:04:34,5,Material Shortage,False,349.26,ops.lead@michiganauto.com,
DT-000105,MCH-003,Welding Station 1,Flint Plant,Night,2025-06-20 08:36:34,15,Unknown,True,1353.65,hse.mgr@michiganauto.com,
DT-000106,MCH-005,Paint Booth Alpha,Detroit Plant,Afternoon,2026-04-19 16:51:34,60,Electrical Fault,True,4799.2,analyst2@michiganauto.com,WO-70808
DT-000107,MCH-005,Paint Booth Alpha,Flint Plant,Afternoon,2025-08-12 05:41:34,15,Setup & Changeover,False,3768.39,kwhite@michiganauto.com,WO-81260
DT-000108,MCH-011,CNC Mill 2,Lansing Plant,Afternoon,2026-05-05 11:34:34,15,Scheduled Maintenance,False,2351.97,ops.lead@michiganauto.com,WO-13313
DT-000109,MCH-014,Stamping Press 2,Lansing Plant,Afternoon,2025-08-26 04:25:34,30,Quality Hold,True,857.52,analyst1@michiganauto.com,WO-31230
DT-000110,MCH-002,Press Line B,Flint Plant,Afternoon,2026-03-29 13:46:34,15,Setup & Changeover,True,3142.34,ds.lead@michiganauto.com,WO-79219
DT-000111,MCH-006,Paint Booth Beta,Flint Plant,Morning,2025-11-21 07:49:34,240,Unknown,False,1469.51,analyst1@michiganauto.com,WO-29541
DT-000112,MCH-009,Assembly Line 3,Lansing Plant,Afternoon,2025-06-05 03:33:34,120,Setup & Changeover,True,407.34,ds.lead@michiganauto.com,
DT-000113,MCH-016,Robotic Arm B,Lansing Plant,Afternoon,2025-07-04 21:37:34,5,Tooling Change,False,3166.79,analyst2@michiganauto.com,WO-28732
DT-000114,MCH-013,Stamping Press 1,Lansing Plant,Morning,2026-02-18 16:53:34,30,Operator Break,False,3176.29,analyst1@michiganauto.com,
DT-000115,MCH-003,Welding Station 1,Flint Plant,Afternoon,2025-08-29 20:27:34,5,Unknown,True,1263.96,ops.lead@michiganauto.com,
DT-000116,MCH-008,Assembly Line 2,Flint Plant,Night,2026-05-25 06:02:34,240,Tooling Change,True,1633.46,analyst2@michiganauto.com,WO-66847
DT-000117,MCH-013,Stamping Press 1,Lansing Plant,Night,2025-11-17 12:02:34,5,Mechanical Failure,False,673.37,finance@michiganauto.com,
DT-000118,MCH-006,Paint Booth Beta,Lansing Plant,Afternoon,2025-12-09 20:20:34,15,Quality Hold,False,1385.4,analyst1@michiganauto.com,WO-41548
DT-000119,MCH-009,Assembly Line 3,Lansing Plant,Morning,2025-11-07 18:07:34,15,Scheduled Maintenance,False,4231.37,ops.lead@michiganauto.com,WO-27878
DT-000120,MCH-018,Conveyor Belt 2,Detroit Plant,Night,2026-05-21 15:00:34,15,Mechanical Failure,False,4947.96,exec.admin@michiganauto.com,WO-82794
DT-000121,MCH-006,Paint Booth Beta,Lansing Plant,Afternoon,2025-06-23 00:36:34,15,Unknown,False,383.03,hse.mgr@michiganauto.com,WO-78390
DT-000122,MCH-014,Stamping Press 2,Lansing Plant,Night,2025-10-29 11:15:34,480,Operator Break,False,843.1,ds.lead@michiganauto.com,WO-71712
DT-000123,MCH-011,CNC Mill 2,Lansing Plant,Night,2025-08-30 06:45:34,60,Quality Hold,True,3150.34,kwhite@michiganauto.com,
DT-000124,MCH-010,CNC Mill 1,Flint Plant,Morning,2025-11-30 23:19:34,5,Electrical Fault,False,418.48,ds.lead@michiganauto.com,WO-47670
DT-000125,MCH-008,Assembly Line 2,Detroit Plant,Night,2025-08-29 10:04:34,5,Material Shortage,True,1379.1,hse.mgr@michiganauto.com,
DT-000126,MCH-013,Stamping Press 1,Flint Plant,Night,2025-09-21 02:46:34,60,Quality Hold,False,769.38,kwhite@michiganauto.com,WO-62449
DT-000127,MCH-005,Paint Booth Alpha,Detroit Plant,Morning,2026-01-20 02:01:34,15,Scheduled Maintenance,False,3179.2,kwhite@michiganauto.com,WO-95174
DT-000128,MCH-020,Quality Gate 1,Flint Plant,Morning,2026-01-04 10:01:34,30,Quality Hold,False,3451.15,ops.lead@michiganauto.com,WO-41180
DT-000129,MCH-020,Quality Gate 1,Lansing Plant,Morning,2025-09-04 07:36:34,30,Tooling Change,False,758.35,analyst1@michiganauto.com,
DT-000130,MCH-020,Quality Gate 1,Lansing Plant,Afternoon,2025-08-22 07:02:34,15,Tooling Change,False,1646.36,exec.admin@michiganauto.com,
DT-000131,MCH-004,Welding Station 2,Lansing Plant,Morning,2026-05-04 14:59:34,480,Tooling Change,False,1526.82,analyst1@michiganauto.com,WO-74963
DT-000132,MCH-016,Robotic Arm B,Lansing Plant,Morning,2026-01-29 00:45:34,60,Electrical Fault,True,4119.82,hse.mgr@michiganauto.com,
DT-000133,MCH-016,Robotic Arm B,Detroit Plant,Afternoon,2026-01-22 01:21:34,30,Unknown,False,3453.9,finance@michiganauto.com,WO-55185
DT-000134,MCH-020,Quality Gate 1,Flint Plant,Afternoon,2025-06-24 07:40:34,30,Mechanical Failure,True,693.58,exec.admin@michiganauto.com,WO-17244
DT-000135,MCH-010,CNC Mill 1,Detroit Plant,Morning,2026-04-26 06:21:34,60,Tooling Change,False,942.7,ops.lead@michiganauto.com,
DT-000136,MCH-001,Press Line A,Detroit Plant,Afternoon,2025-08-14 12:23:34,5,Quality Hold,False,2336.11,maint.mgr@michiganauto.com,WO-20556
DT-000137,MCH-012,CNC Mill 3,Flint Plant,Night,2025-10-16 03:29:34,15,Electrical Fault,False,1475.12,exec.admin@michiganauto.com,
DT-000138,MCH-006,Paint Booth Beta,Lansing Plant,Afternoon,2026-03-26 15:20:34,15,Unknown,True,1695.3,analyst1@michiganauto.com,WO-10482
DT-000139,MCH-008,Assembly Line 2,Lansing Plant,Morning,2026-01-30 18:38:34,60,Tooling Change,False,4122.52,maint.mgr@michiganauto.com,WO-80930
DT-000140,MCH-009,Assembly Line 3,Detroit Plant,Night,2025-12-10 19:08:34,30,Scheduled Maintenance,False,2937.25,maint.mgr@michiganauto.com,WO-97456
DT-000141,MCH-009,Assembly Line 3,Detroit Plant,Afternoon,2026-05-24 03:25:34,15,Setup & Changeover,False,2473.27,kwhite@michiganauto.com,WO-72971
DT-000142,MCH-002,Press Line B,Lansing Plant,Morning,2025-10-27 22:09:34,5,Scheduled Maintenance,False,1430.48,exec.admin@michiganauto.com,WO-17289
DT-000143,MCH-018,Conveyor Belt 2,Lansing Plant,Night,2025-09-02 00:03:34,15,Tooling Change,False,2242.78,hse.mgr@michiganauto.com,WO-99602
DT-000144,MCH-005,Paint Booth Alpha,Flint Plant,Afternoon,2026-05-10 04:28:34,5,Operator Break,True,3681.69,ops.lead@michiganauto.com,
DT-000145,MCH-016,Robotic Arm B,Detroit Plant,Morning,2026-03-23 17:47:34,15,Setup & Changeover,False,61.26,maint.mgr@michiganauto.com,WO-17311
DT-000146,MCH-006,Paint Booth Beta,Lansing Plant,Morning,2025-12-04 20:26:34,60,Mechanical Failure,True,3641.04,exec.admin@michiganauto.com,
DT-000147,MCH-018,Conveyor Belt 2,Lansing Plant,Night,2026-04-22 00:42:34,30,Quality Hold,False,3102.08,analyst1@michiganauto.com,WO-67425
DT-000148,MCH-016,Robotic Arm B,Detroit Plant,Afternoon,2026-01-26 17:28:34,15,Scheduled Maintenance,True,91.95,maint.mgr@michiganauto.com,WO-14898
DT-000149,MCH-016,Robotic Arm B,Lansing Plant,Morning,2026-01-19 22:14:34,120,Mechanical Failure,False,2448.72,analyst2@michiganauto.com,
DT-000150,MCH-003,Welding Station 1,Lansing Plant,Night,2026-03-09 23:40:34,60,Scheduled Maintenance,True,4837.03,hse.mgr@michiganauto.com,WO-88825
DT-000151,MCH-001,Press Line A,Lansing Plant,Night,2026-01-09 19:52:34,60,Unknown,False,548.97,ops.lead@michiganauto.com,
DT-000152,MCH-019,Inspection Station,Lansing Plant,Afternoon,2026-02-04 03:56:34,5,Tooling Change,False,3838.74,kwhite@michiganauto.com,
DT-000153,MCH-007,Assembly Line 1,Flint Plant,Night,2026-03-30 13:25:34,30,Electrical Fault,False,3873.73,finance@michiganauto.com,
DT-000154,MCH-012,CNC Mill 3,Lansing Plant,Morning,2026-01-01 05:22:34,30,Quality Hold,True,4410.91,ds.lead@michiganauto.com,WO-68125
DT-000155,MCH-012,CNC Mill 3,Detroit Plant,Night,2025-11-13 07:37:34,5,Mechanical Failure,True,130.35,ds.lead@michiganauto.com,WO-39980
DT-000156,MCH-014,Stamping Press 2,Flint Plant,Afternoon,2026-03-20 19:12:34,5,Electrical Fault,True,1475.05,kwhite@michiganauto.com,WO-55519
DT-000157,MCH-016,Robotic Arm B,Flint Plant,Morning,2025-09-24 00:27:34,120,Electrical Fault,False,4866.38,hse.mgr@michiganauto.com,WO-68931
DT-000158,MCH-014,Stamping Press 2,Flint Plant,Morning,2025-06-17 14:59:34,30,Setup & Changeover,False,2563.77,exec.admin@michiganauto.com,WO-20021
DT-000159,MCH-006,Paint Booth Beta,Detroit Plant,Night,2025-09-16 01:00:34,240,Material Shortage,True,139.77,analyst2@michiganauto.com,WO-11580
DT-000160,MCH-015,Robotic Arm A,Lansing Plant,Afternoon,2026-01-29 00:04:34,15,Electrical Fault,True,2717.78,analyst1@michiganauto.com,WO-95830
DT-000161,MCH-004,Welding Station 2,Flint Plant,Afternoon,2025-11-28 18:59:34,5,Unknown,False,204.54,finance@michiganauto.com,
DT-000162,MCH-006,Paint Booth Beta,Lansing Plant,Afternoon,2026-01-07 15:40:34,60,Power Outage,False,2967.36,analyst2@michiganauto.com,WO-61659
DT-000163,MCH-005,Paint Booth Alpha,Detroit Plant,Morning,2025-08-31 22:44:34,240,Quality Hold,False,2794.99,kwhite@michiganauto.com,
DT-000164,MCH-004,Welding Station 2,Lansing Plant,Night,2025-07-08 04:12:34,30,Unknown,True,1950.74,ds.lead@michiganauto.com,
DT-000165,MCH-007,Assembly Line 1,Detroit Plant,Morning,2026-03-29 22:36:34,30,Electrical Fault,True,4447.65,kwhite@michiganauto.com,WO-62263
DT-000166,MCH-018,Conveyor Belt 2,Lansing Plant,Afternoon,2026-03-11 08:56:34,5,Scheduled Maintenance,True,4864.28,hse.mgr@michiganauto.com,WO-93806
DT-000167,MCH-003,Welding Station 1,Detroit Plant,Morning,2025-10-29 00:53:34,5,Material Shortage,False,929.35,maint.mgr@michiganauto.com,
DT-000168,MCH-018,Conveyor Belt 2,Lansing Plant,Morning,2025-12-20 04:20:34,15,Tooling Change,False,3828.46,finance@michiganauto.com,
DT-000169,MCH-001,Press Line A,Detroit Plant,Night,2025-11-17 08:36:34,5,Electrical Fault,False,3482.99,maint.mgr@michiganauto.com,
DT-000170,MCH-017,Conveyor Belt 1,Flint Plant,Afternoon,2026-01-18 11:57:34,60,Operator Break,False,2699.8,hse.mgr@michiganauto.com,WO-36831
DT-000171,MCH-005,Paint Booth Alpha,Flint Plant,Morning,2025-06-11 21:14:34,30,Mechanical Failure,False,1875.98,maint.mgr@michiganauto.com,
DT-000172,MCH-010,CNC Mill 1,Lansing Plant,Morning,2025-06-08 06:26:34,15,Power Outage,False,4222.94,hse.mgr@michiganauto.com,WO-28061
DT-000173,MCH-003,Welding Station 1,Lansing Plant,Morning,2025-10-20 20:53:34,480,Mechanical Failure,True,1186.87,analyst1@michiganauto.com,
