refresh_id,dataset_id,dataset_name,workspace_id,workspace_name,refresh_type,triggered_by,start_datetime,end_datetime,duration_minutes,status,rows_processed,error_code,error_message,refresh_mode
REF-00016,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-10 15:33:34,2026-05-10 16:20:34,47,Success,1277521,,,Full
REF-00017,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-09 15:33:34,2026-05-09 16:00:34,27,Success,987798,,,Full
REF-00018,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-08 13:33:34,2026-05-08 14:05:34,32,Success,216796,,,Incremental
REF-00019,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-07 13:33:34,2026-05-07 13:59:34,26,Success,666245,,,Full
REF-00020,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-06 14:33:34,2026-05-06 15:13:34,40,Warning,0,TIMEOUT,Connection timeout after 300s,Incremental
REF-00021,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-05 15:33:34,2026-05-05 16:17:34,44,Success,1988588,,,Incremental
REF-00022,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-04 14:33:34,2026-05-04 15:22:34,49,Success,1677184,,,Incremental
REF-00023,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,OnDemand,Schedule,2026-05-03 15:33:34,2026-05-03 16:10:34,37,Success,1355971,,,Incremental
REF-00024,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-02 17:33:34,2026-05-02 18:18:34,45,Success,111742,,,Incremental
REF-00025,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-01 18:33:34,2026-05-01 18:36:34,3,Success,468688,,,Incremental
REF-00026,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-30 16:33:34,2026-04-30 17:18:34,45,Success,1033104,,,Incremental
REF-00027,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,OnDemand,Schedule,2026-04-29 18:33:34,2026-04-29 18:53:34,20,Success,1133524,,,Incremental
REF-00028,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Manual,Schedule,2026-04-28 17:33:34,2026-04-28 17:47:34,14,Success,234429,,,Full
REF-00029,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-27 15:33:34,2026-04-27 16:28:34,55,Success,753316,,,Incremental
REF-00030,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-26 14:33:34,2026-04-26 14:51:34,18,Success,1472210,,,Incremental
REF-00031,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-25 16:33:34,2026-04-25 16:37:34,4,Failed,0,TIMEOUT,Connection timeout after 300s,Incremental
REF-00032,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,OnDemand,API,2026-04-24 15:33:34,2026-04-24 15:57:34,24,Success,1196687,,,Incremental
REF-00033,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-23 17:33:34,2026-04-23 18:20:34,47,Success,1871336,,,Incremental
REF-00034,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,User,2026-04-22 17:33:34,2026-04-22 18:12:34,39,Success,1390155,,,Incremental
REF-00035,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-21 18:33:34,2026-04-21 19:24:34,51,Success,1731113,,,Full
REF-00036,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-20 19:33:34,2026-04-20 20:12:34,39,Success,1760389,,,Incremental
REF-00037,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,OnDemand,Schedule,2026-04-19 18:33:34,2026-04-19 18:44:34,11,Success,1667794,,,Incremental
REF-00038,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-18 18:33:34,2026-04-18 18:35:34,2,Failed,0,SCHEMA_CHANGE,Capacity limit exceeded,Incremental
REF-00039,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-17 18:33:34,2026-04-17 18:37:34,4,Failed,0,CAPACITY_LIMIT,Authentication failed for data source,Incremental
REF-00040,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-16 17:33:34,2026-04-16 17:54:34,21,Warning,0,TIMEOUT,Connection timeout after 300s,Incremental
REF-00041,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-15 18:33:34,2026-04-15 18:56:34,23,Success,766443,,,Incremental
REF-00042,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-14 18:33:34,2026-04-14 18:42:34,9,Success,287887,,,Incremental
REF-00043,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-13 16:33:34,2026-04-13 16:37:34,4,Success,197944,,,Incremental
REF-00044,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-12 16:33:34,2026-04-12 16:36:34,3,Success,622048,,,Incremental
REF-00045,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-11 14:33:34,2026-04-11 14:51:34,18,Success,1209487,,,Full
REF-00046,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-10 14:33:34,2026-04-10 15:07:34,34,Success,316047,,,Incremental
REF-00047,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Manual,Schedule,2026-04-09 13:33:34,2026-04-09 13:59:34,26,Success,537852,,,Incremental
REF-00048,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,User,2026-04-08 11:33:34,2026-04-08 11:42:34,9,Success,294142,,,Incremental
REF-00049,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-07 09:33:34,2026-04-07 09:57:34,24,Success,933214,,,Incremental
REF-00050,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-06 07:33:34,2026-04-06 07:35:34,2,Failed,0,TIMEOUT,Connection timeout after 300s,Incremental
REF-00051,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-05 06:33:34,2026-04-05 07:26:34,53,Success,518400,,,Incremental
REF-00052,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-04 06:33:34,2026-04-04 06:48:34,15,Warning,0,AUTH_FAIL,Authentication failed for data source,Incremental
REF-00053,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-03 05:33:34,2026-04-03 05:49:34,16,Success,929506,,,Full
REF-00054,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-04-02 04:33:34,2026-04-02 04:44:34,11,Success,1338201,,,Full
REF-00055,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,OnDemand,Schedule,2026-04-01 03:33:34,2026-04-01 03:40:34,7,Success,951761,,,Incremental
REF-00056,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-31 01:33:34,2026-03-31 02:20:34,47,Success,887240,,,Incremental
REF-00057,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-29 23:33:34,2026-03-29 23:41:34,8,Success,239364,,,Incremental
REF-00058,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,API,2026-03-28 21:33:34,2026-03-28 22:19:34,46,Warning,0,TIMEOUT,Schema change detected in source,Full
REF-00059,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-27 23:33:34,2026-03-28 00:08:34,35,Success,1576264,,,Incremental
REF-00060,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-26 22:33:34,2026-03-26 23:05:34,32,Success,1629719,,,Full
REF-00061,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Manual,Schedule,2026-03-26 00:33:34,2026-03-26 00:54:34,21,Success,882363,,,Incremental
REF-00062,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-25 01:33:34,2026-03-25 01:57:34,24,Success,964901,,,Incremental
REF-00063,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-24 03:33:34,2026-03-24 04:20:34,47,Success,958850,,,Incremental
REF-00064,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-23 05:33:34,2026-03-23 05:34:34,1,Failed,0,CAPACITY_LIMIT,Connection timeout after 300s,Full
REF-00065,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-22 06:33:34,2026-03-22 07:03:34,30,Success,978997,,,Full
REF-00066,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Manual,Schedule,2026-03-21 05:33:34,2026-03-21 06:23:34,50,Success,1297875,,,Incremental
REF-00067,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-20 07:33:34,2026-03-20 07:49:34,16,Success,593731,,,Full
REF-00068,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-19 09:33:34,2026-03-19 10:10:34,37,Success,402083,,,Full
REF-00069,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-18 08:33:34,2026-03-18 09:16:34,43,Success,667256,,,Incremental
REF-00070,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-17 08:33:34,2026-03-17 09:05:34,32,Success,1304703,,,Incremental
REF-00071,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-16 06:33:34,2026-03-16 07:19:34,46,Success,290908,,,Full
REF-00072,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-15 06:33:34,2026-03-15 07:08:34,35,Success,824666,,,Incremental
REF-00073,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Manual,User,2026-03-14 07:33:34,2026-03-14 08:10:34,37,Success,1464234,,,Full
REF-00074,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-13 08:33:34,2026-03-13 08:44:34,11,Success,402374,,,Full
REF-00075,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-12 08:33:34,2026-03-12 09:07:34,34,Success,296334,,,Incremental
REF-00076,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-11 07:33:34,2026-03-11 08:07:34,34,Success,881640,,,Full
REF-00077,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-10 05:33:34,2026-03-10 05:54:34,21,Success,78566,,,Full
REF-00078,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-09 04:33:34,2026-03-09 05:25:34,52,Success,1616249,,,Incremental
REF-00079,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-08 04:33:34,2026-03-08 05:28:34,55,Success,779364,,,Incremental
REF-00080,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-07 03:33:34,2026-03-07 04:03:34,30,Success,224782,,,Full
REF-00081,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-06 05:33:34,2026-03-06 05:58:34,25,Success,1818163,,,Incremental
REF-00082,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,User,2026-03-05 06:33:34,2026-03-05 07:23:34,50,Success,1242965,,,Incremental
REF-00083,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-04 05:33:34,2026-03-04 05:44:34,11,Success,1655948,,,Full
REF-00084,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,API,2026-03-03 05:33:34,2026-03-03 06:14:34,41,Success,1139879,,,Full
REF-00085,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-02 03:33:34,2026-03-02 04:08:34,35,Success,1897762,,,Incremental
REF-00086,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-03-01 02:33:34,2026-03-01 02:53:34,20,Success,1828330,,,Full
REF-00087,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-02-28 03:33:34,2026-02-28 03:51:34,18,Success,1606925,,,Full
REF-00088,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-02-27 03:33:34,2026-02-27 04:00:34,27,Success,957895,,,Incremental
REF-00089,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Manual,Schedule,2026-02-26 02:33:34,2026-02-26 02:53:34,20,Success,1466899,,,Incremental
REF-00090,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-02-25 02:33:34,2026-02-25 03:25:34,52,Success,1786638,,,Incremental
REF-00091,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,API,2026-05-25 16:33:34,2026-05-25 17:26:34,53,Success,1130769,,,Incremental
REF-00092,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-24 15:33:34,2026-05-24 15:54:34,21,Success,718323,,,Incremental
REF-00093,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-23 15:33:34,2026-05-23 16:24:34,51,Success,111521,,,Incremental
REF-00094,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,API,2026-05-22 17:33:34,2026-05-22 18:04:34,31,Success,967387,,,Full
REF-00095,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Manual,User,2026-05-21 18:33:34,2026-05-21 18:55:34,22,Success,343399,,,Full
REF-00096,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Manual,Schedule,2026-05-20 18:33:34,2026-05-20 18:59:34,26,Success,1403575,,,Incremental
REF-00097,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-19 18:33:34,2026-05-19 19:24:34,51,Success,501035,,,Full
REF-00098,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-18 19:33:34,2026-05-18 19:44:34,11,Success,1255036,,,Full
REF-00099,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-17 19:33:34,2026-05-17 20:03:34,30,Success,1465488,,,Incremental
REF-00100,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-16 21:33:34,2026-05-16 21:36:34,3,Failed,0,SCHEMA_CHANGE,Connection timeout after 300s,Incremental
REF-00101,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-15 22:33:34,2026-05-15 22:36:34,3,Warning,0,TIMEOUT,Connection timeout after 300s,Incremental
REF-00102,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,User,2026-05-14 21:33:34,2026-05-14 22:04:34,31,Success,1813472,,,Full
REF-00103,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,OnDemand,Schedule,2026-05-13 23:33:34,2026-05-14 00:00:34,27,Success,747223,,,Full
REF-00104,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-12 23:33:34,2026-05-12 23:51:34,18,Success,1170556,,,Full
REF-00105,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-12 01:33:34,2026-05-12 02:18:34,45,Success,1846742,,,Incremental
REF-00106,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Manual,API,2026-05-11 00:33:34,2026-05-11 00:39:34,6,Success,1653751,,,Incremental
REF-00107,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,User,2026-05-10 02:33:34,2026-05-10 03:16:34,43,Success,1255561,,,Full
REF-00108,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Manual,Schedule,2026-05-09 02:33:34,2026-05-09 02:44:34,11,Success,821258,,,Incremental
REF-00109,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-08 03:33:34,2026-05-08 04:25:34,52,Success,163074,,,Full
REF-00110,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-07 05:33:34,2026-05-07 06:26:34,53,Success,844614,,,Incremental
REF-00111,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-06 04:33:34,2026-05-06 05:01:34,28,Success,182863,,,Full
REF-00112,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-05 06:33:34,2026-05-05 07:08:34,35,Success,1941319,,,Incremental
REF-00113,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-04 05:33:34,2026-05-04 06:24:34,51,Success,1760128,,,Incremental
REF-00114,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,User,2026-05-03 04:33:34,2026-05-03 04:51:34,18,Success,131437,,,Full
REF-00115,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-05-02 02:33:34,2026-05-02 02:55:34,22,Success,1406870,,,Full
REF-00116,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,OnDemand,Schedule,2026-05-01 03:33:34,2026-05-01 03:46:34,13,Success,1051053,,,Incremental
REF-00117,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-30 03:33:34,2026-04-30 03:44:34,11,Success,1582395,,,Incremental
REF-00118,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-29 05:33:34,2026-04-29 06:03:34,30,Success,580384,,,Incremental
REF-00119,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,User,2026-04-28 07:33:34,2026-04-28 08:08:34,35,Success,765234,,,Full
REF-00120,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-27 08:33:34,2026-04-27 08:42:34,9,Success,1885416,,,Full
REF-00121,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-26 06:33:34,2026-04-26 06:51:34,18,Success,106430,,,Full
REF-00122,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-25 08:33:34,2026-04-25 09:21:34,48,Success,1563288,,,Full
REF-00123,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-24 08:33:34,2026-04-24 08:40:34,7,Success,1208597,,,Incremental
REF-00124,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,OnDemand,Schedule,2026-04-23 09:33:34,2026-04-23 10:09:34,36,Success,106319,,,Incremental
REF-00125,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-22 09:33:34,2026-04-22 09:55:34,22,Success,696399,,,Incremental
REF-00126,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-21 09:33:34,2026-04-21 09:55:34,22,Success,1561003,,,Incremental
REF-00127,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-20 08:33:34,2026-04-20 09:25:34,52,Success,419830,,,Incremental
REF-00128,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-19 09:33:34,2026-04-19 09:34:34,1,Failed,0,SCHEMA_CHANGE,Schema change detected in source,Incremental
REF-00129,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-18 11:33:34,2026-04-18 12:00:34,27,Success,1790494,,,Full
REF-00130,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-17 12:33:34,2026-04-17 12:39:34,6,Success,308578,,,Incremental
REF-00131,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,OnDemand,Schedule,2026-04-16 10:33:34,2026-04-16 10:59:34,26,Success,971456,,,Full
REF-00132,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-15 11:33:34,2026-04-15 12:01:34,28,Success,166930,,,Incremental
REF-00133,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-14 12:33:34,2026-04-14 12:52:34,19,Success,1794495,,,Incremental
REF-00134,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-13 12:33:34,2026-04-13 12:53:34,20,Success,499918,,,Incremental
REF-00135,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-12 10:33:34,2026-04-12 10:46:34,13,Success,952809,,,Incremental
REF-00136,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Manual,Schedule,2026-04-11 11:33:34,2026-04-11 12:05:34,32,Success,565761,,,Incremental
REF-00137,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-10 11:33:34,2026-04-10 12:20:34,47,Success,1275217,,,Incremental
REF-00138,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-09 13:33:34,2026-04-09 13:58:34,25,Success,840984,,,Full
REF-00139,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-08 14:33:34,2026-04-08 14:37:34,4,Failed,0,TIMEOUT,Connection timeout after 300s,Incremental
REF-00140,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-07 16:33:34,2026-04-07 16:44:34,11,Success,425515,,,Incremental
REF-00141,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-06 18:33:34,2026-04-06 18:52:34,19,Success,1933987,,,Full
REF-00142,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-05 17:33:34,2026-04-05 17:41:34,8,Success,1908086,,,Full
REF-00143,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-04 16:33:34,2026-04-04 17:03:34,30,Warning,0,TIMEOUT,Authentication failed for data source,Full
REF-00144,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-03 17:33:34,2026-04-03 17:53:34,20,Success,596897,,,Incremental
REF-00145,DS-003,Maintenance Semantic Model,WS-004,Michigan Auto - Maintenance,Scheduled,Schedule,2026-04-02 15:33:34,2026-04-02 15:54:34,21,Success,1056251,,,Full
