transaction_id,period,cost_centre_id,cost_centre_name,gl_account_id,gl_account_name,plant,budget_amount_usd,actual_amount_usd,variance_amount_usd,variance_pct,posted_by,posted_date,approved_by,journal_reference,is_accrual,fiscal_year,fiscal_quarter
FAR-000015,2024-09,CC-2003,HSE & Compliance,GL-6002,External Repairs,Lansing Plant,87317.92,60062.72,-27255.2,-31.21,exec.admin@michiganauto.com,2026-03-15,john.smith@michiganauto.com,JNL-688962,False,2024,Q4
FAR-000016,2024-10,CC-1005,Quality Control,GL-4002,Indirect Labour,Lansing Plant,116690.42,170625.52,53935.1,46.22,analyst2@michiganauto.com,2025-09-06,maint.mgr@michiganauto.com,JNL-595773,False,2024,Q4
FAR-000017,2024-11,CC-3001,Finance & Admin,GL-7001,Overhead Allocation,Lansing Plant,149322.54,133464.78,-15857.76,-10.62,finance@michiganauto.com,2025-07-27,ops.lead@michiganauto.com,JNL-763329,False,2024,Q1
FAR-000018,2024-09,CC-1005,Quality Control,GL-7001,Overhead Allocation,Flint Plant,123238.7,92349.75,-30888.95,-25.06,finance@michiganauto.com,2025-07-13,ds.lead@michiganauto.com,JNL-427999,False,2024,Q1
FAR-000019,2024-08,CC-3001,Finance & Admin,GL-7001,Overhead Allocation,Flint Plant,131057.47,187312.84,56255.37,42.92,analyst2@michiganauto.com,2025-10-15,ds.lead@michiganauto.com,JNL-448296,False,2024,Q3
FAR-000020,2024-01,CC-3001,Finance & Admin,GL-6001,Maintenance Parts,Lansing Plant,116366.32,78343.38,-38022.94,-32.68,analyst1@michiganauto.com,2025-09-07,ops.lead@michiganauto.com,JNL-659866,False,2024,Q2
FAR-000021,2024-08,CC-1003,Paint Shop,GL-4003,Contractor Cost,Detroit Plant,33049.53,41679.01,8629.48,26.11,exec.admin@michiganauto.com,2025-10-05,ds.lead@michiganauto.com,JNL-376850,True,2024,Q1
FAR-000022,2024-10,CC-2002,Tooling & Fixtures,GL-4001,Direct Labour,Flint Plant,8170.8,9260.32,1089.52,13.33,analyst1@michiganauto.com,2025-10-17,maint.mgr@michiganauto.com,JNL-691968,True,2024,Q1
FAR-000023,2024-10,CC-1004,Assembly Dept,GL-5004,Energy,Flint Plant,7165.7,8409.87,1244.17,17.36,analyst1@michiganauto.com,2025-09-13,maint.mgr@michiganauto.com,JNL-566176,False,2024,Q3
FAR-000024,2024-11,CC-1005,Quality Control,GL-5003,Tooling,Flint Plant,214611.16,238791.96,24180.8,11.27,analyst1@michiganauto.com,2025-07-14,maint.mgr@michiganauto.com,JNL-409960,True,2024,Q2
FAR-000025,2024-03,CC-1002,Welding Dept,GL-5001,Raw Materials,Detroit Plant,99345.04,148160.66,48815.62,49.14,analyst1@michiganauto.com,2025-06-05,maint.mgr@michiganauto.com,JNL-880488,False,2024,Q1
FAR-000026,2024-11,CC-2003,HSE & Compliance,GL-4003,Contractor Cost,Lansing Plant,63034.32,52012.49,-11021.83,-17.49,analyst1@michiganauto.com,2025-08-11,john.smith@michiganauto.com,JNL-870819,False,2024,Q1
FAR-000027,2024-09,CC-2002,Tooling & Fixtures,GL-5004,Energy,Lansing Plant,8305.36,9309.84,1004.48,12.09,analyst2@michiganauto.com,2026-03-15,ops.lead@michiganauto.com,JNL-126349,True,2024,Q3
FAR-000028,2024-07,CC-1001,Stamping Dept,GL-7001,Overhead Allocation,Flint Plant,181824.53,271494.27,89669.74,49.32,exec.admin@michiganauto.com,2025-06-11,ops.lead@michiganauto.com,JNL-233983,False,2024,Q4
FAR-000029,2024-08,CC-1002,Welding Dept,GL-5003,Tooling,Detroit Plant,7193.63,7596.66,403.03,5.6,finance@michiganauto.com,2025-07-24,maint.mgr@michiganauto.com,JNL-307529,True,2024,Q4
FAR-000030,2024-11,CC-1003,Paint Shop,GL-5001,Raw Materials,Flint Plant,181841.08,130776.75,-51064.33,-28.08,finance@michiganauto.com,2025-06-09,john.smith@michiganauto.com,JNL-883721,True,2024,Q1
FAR-000031,2024-01,CC-1005,Quality Control,GL-5002,Consumables,Detroit Plant,61862.23,38041.48,-23820.75,-38.51,finance@michiganauto.com,2025-08-18,ds.lead@michiganauto.com,JNL-225082,False,2024,Q1
FAR-000032,2024-07,CC-1004,Assembly Dept,GL-6002,External Repairs,Flint Plant,227158.88,248576.51,21417.63,9.43,analyst2@michiganauto.com,2025-06-04,maint.mgr@michiganauto.com,JNL-187984,False,2024,Q2
FAR-000033,2024-12,CC-1003,Paint Shop,GL-4001,Direct Labour,Flint Plant,248106.52,292744.23,44637.71,17.99,finance@michiganauto.com,2025-08-09,ds.lead@michiganauto.com,JNL-670707,False,2024,Q2
FAR-000034,2024-11,CC-1005,Quality Control,GL-4002,Indirect Labour,Detroit Plant,31373.18,36865.05,5491.87,17.5,finance@michiganauto.com,2025-11-29,maint.mgr@michiganauto.com,JNL-408298,False,2024,Q4
FAR-000035,2024-02,CC-2003,HSE & Compliance,GL-7001,Overhead Allocation,Flint Plant,8059.93,9683.71,1623.78,20.15,analyst2@michiganauto.com,2025-09-20,ops.lead@michiganauto.com,JNL-804916,False,2024,Q1
FAR-000036,2024-12,CC-1002,Welding Dept,GL-4001,Direct Labour,Detroit Plant,160287.52,227930.74,67643.22,42.2,analyst1@michiganauto.com,2026-05-22,maint.mgr@michiganauto.com,JNL-234822,False,2024,Q2
FAR-000037,2024-11,CC-3002,IT Operations,GL-4003,Contractor Cost,Flint Plant,223166.98,250149.42,26982.44,12.09,analyst1@michiganauto.com,2025-09-18,ds.lead@michiganauto.com,JNL-203163,False,2024,Q1
FAR-000038,2024-01,CC-3002,IT Operations,GL-5001,Raw Materials,Lansing Plant,102186.59,107390.24,5203.65,5.09,finance@michiganauto.com,2026-04-23,ops.lead@michiganauto.com,JNL-320660,False,2024,Q2
FAR-000039,2024-06,CC-2001,Maintenance Eng,GL-5004,Energy,Detroit Plant,186630.73,274723.35,88092.62,47.2,analyst1@michiganauto.com,2026-03-04,ds.lead@michiganauto.com,JNL-661766,False,2024,Q1
FAR-000040,2024-04,CC-2002,Tooling & Fixtures,GL-4002,Indirect Labour,Lansing Plant,229260.19,172186.5,-57073.69,-24.89,finance@michiganauto.com,2026-01-11,maint.mgr@michiganauto.com,JNL-287525,False,2024,Q4
FAR-000041,2024-07,CC-1002,Welding Dept,GL-5004,Energy,Lansing Plant,148674.76,93294.73,-55380.03,-37.25,analyst2@michiganauto.com,2026-05-13,john.smith@michiganauto.com,JNL-933828,False,2024,Q3
FAR-000042,2024-02,CC-2002,Tooling & Fixtures,GL-5001,Raw Materials,Lansing Plant,64470.15,84773.2,20303.05,31.49,exec.admin@michiganauto.com,2025-06-10,john.smith@michiganauto.com,JNL-448814,False,2024,Q1
FAR-000043,2024-02,CC-3001,Finance & Admin,GL-6001,Maintenance Parts,Lansing Plant,58713.08,75701.25,16988.17,28.93,exec.admin@michiganauto.com,2025-10-08,ds.lead@michiganauto.com,JNL-954330,False,2024,Q2
FAR-000044,2024-01,CC-1001,Stamping Dept,GL-6002,External Repairs,Detroit Plant,26886.65,35213.47,8326.82,30.97,exec.admin@michiganauto.com,2026-04-12,john.smith@michiganauto.com,JNL-110059,False,2024,Q3
FAR-000045,2024-08,CC-1003,Paint Shop,GL-4003,Contractor Cost,Detroit Plant,60723.26,67147.21,6423.95,10.58,exec.admin@michiganauto.com,2025-07-08,maint.mgr@michiganauto.com,JNL-257155,False,2024,Q4
FAR-000046,2024-06,CC-2003,HSE & Compliance,GL-5001,Raw Materials,Flint Plant,222268.33,302742.54,80474.21,36.21,finance@michiganauto.com,2026-03-11,john.smith@michiganauto.com,JNL-995480,True,2024,Q1
FAR-000047,2024-08,CC-1001,Stamping Dept,GL-4002,Indirect Labour,Detroit Plant,53918.91,54519.41,600.5,1.11,finance@michiganauto.com,2025-12-27,ds.lead@michiganauto.com,JNL-767702,False,2024,Q4
FAR-000048,2024-07,CC-2001,Maintenance Eng,GL-4003,Contractor Cost,Flint Plant,197513.55,205559.95,8046.4,4.07,finance@michiganauto.com,2026-03-20,ds.lead@michiganauto.com,JNL-325277,False,2024,Q2
FAR-000049,2024-01,CC-2002,Tooling & Fixtures,GL-4001,Direct Labour,Lansing Plant,201086.93,139935.78,-61151.15,-30.41,exec.admin@michiganauto.com,2026-03-30,ds.lead@michiganauto.com,JNL-633360,False,2024,Q1
FAR-000050,2024-04,CC-2002,Tooling & Fixtures,GL-5003,Tooling,Flint Plant,162891.4,210060.99,47169.59,28.96,exec.admin@michiganauto.com,2026-03-14,ops.lead@michiganauto.com,JNL-678916,True,2024,Q4
FAR-000051,2024-08,CC-3002,IT Operations,GL-4002,Indirect Labour,Lansing Plant,216029.87,274668.76,58638.89,27.14,analyst1@michiganauto.com,2025-11-30,maint.mgr@michiganauto.com,JNL-122594,False,2024,Q3
FAR-000052,2024-04,CC-1004,Assembly Dept,GL-7001,Overhead Allocation,Lansing Plant,24418.43,30314.1,5895.67,24.14,analyst1@michiganauto.com,2025-07-10,john.smith@michiganauto.com,JNL-776855,False,2024,Q2
FAR-000053,2024-04,CC-3002,IT Operations,GL-6001,Maintenance Parts,Lansing Plant,79040.3,47445.27,-31595.03,-39.97,finance@michiganauto.com,2025-06-20,maint.mgr@michiganauto.com,JNL-132402,False,2024,Q4
FAR-000054,2024-10,CC-1003,Paint Shop,GL-5002,Consumables,Detroit Plant,10247.61,12730.01,2482.4,24.22,finance@michiganauto.com,2025-12-15,maint.mgr@michiganauto.com,JNL-649120,False,2024,Q1
FAR-000055,2024-04,CC-2001,Maintenance Eng,GL-6001,Maintenance Parts,Lansing Plant,83497.07,103648.09,20151.02,24.13,analyst2@michiganauto.com,2025-07-10,ds.lead@michiganauto.com,JNL-930086,False,2024,Q3
FAR-000056,2024-11,CC-2002,Tooling & Fixtures,GL-4002,Indirect Labour,Lansing Plant,110447.68,88438.81,-22008.87,-19.93,finance@michiganauto.com,2026-01-05,john.smith@michiganauto.com,JNL-659935,True,2024,Q1
FAR-000057,2024-02,CC-1001,Stamping Dept,GL-4002,Indirect Labour,Lansing Plant,215460.55,146177.63,-69282.92,-32.16,exec.admin@michiganauto.com,2025-11-17,ops.lead@michiganauto.com,JNL-270029,False,2024,Q3
FAR-000058,2024-12,CC-1005,Quality Control,GL-4001,Direct Labour,Flint Plant,64992.83,42368.26,-22624.57,-34.81,exec.admin@michiganauto.com,2025-09-16,maint.mgr@michiganauto.com,JNL-311591,False,2024,Q3
FAR-000059,2024-11,CC-3001,Finance & Admin,GL-5004,Energy,Detroit Plant,226640.12,142574.43,-84065.69,-37.09,exec.admin@michiganauto.com,2025-12-07,ds.lead@michiganauto.com,JNL-123798,False,2024,Q4
FAR-000060,2024-02,CC-2002,Tooling & Fixtures,GL-5001,Raw Materials,Flint Plant,71969.71,92709.42,20739.71,28.82,exec.admin@michiganauto.com,2025-10-29,maint.mgr@michiganauto.com,JNL-727723,True,2024,Q4
FAR-000061,2024-08,CC-1004,Assembly Dept,GL-4001,Direct Labour,Detroit Plant,197790.84,184733.17,-13057.67,-6.6,finance@michiganauto.com,2025-06-18,ds.lead@michiganauto.com,JNL-136980,False,2024,Q4
FAR-000062,2024-05,CC-1001,Stamping Dept,GL-4001,Direct Labour,Lansing Plant,170325.99,205171.85,34845.86,20.46,finance@michiganauto.com,2025-11-24,john.smith@michiganauto.com,JNL-951372,True,2024,Q2
FAR-000063,2024-11,CC-1001,Stamping Dept,GL-4002,Indirect Labour,Detroit Plant,185895.22,227043.4,41148.18,22.14,exec.admin@michiganauto.com,2025-10-13,ds.lead@michiganauto.com,JNL-516472,False,2024,Q4
FAR-000064,2024-02,CC-1002,Welding Dept,GL-6002,External Repairs,Detroit Plant,63505.04,63740.58,235.54,0.37,finance@michiganauto.com,2026-01-10,maint.mgr@michiganauto.com,JNL-575528,False,2024,Q4
FAR-000065,2024-07,CC-2001,Maintenance Eng,GL-6002,External Repairs,Lansing Plant,16690.99,11535.61,-5155.38,-30.89,analyst1@michiganauto.com,2025-10-28,ds.lead@michiganauto.com,JNL-677066,False,2024,Q1
FAR-000066,2024-02,CC-2003,HSE & Compliance,GL-5001,Raw Materials,Flint Plant,39426.2,50961.55,11535.35,29.26,analyst1@michiganauto.com,2026-03-04,john.smith@michiganauto.com,JNL-982201,True,2024,Q1
FAR-000067,2024-07,CC-1002,Welding Dept,GL-4001,Direct Labour,Flint Plant,222632.4,139951.85,-82680.55,-37.14,exec.admin@michiganauto.com,2025-06-02,ops.lead@michiganauto.com,JNL-650275,False,2024,Q3
FAR-000068,2024-07,CC-1003,Paint Shop,GL-5002,Consumables,Lansing Plant,140727.71,198904.89,58177.18,41.34,analyst2@michiganauto.com,2026-02-02,john.smith@michiganauto.com,JNL-377285,False,2024,Q2
FAR-000069,2024-04,CC-3001,Finance & Admin,GL-5002,Consumables,Flint Plant,209966.57,134909.47,-75057.1,-35.75,finance@michiganauto.com,2025-11-22,john.smith@michiganauto.com,JNL-281145,False,2024,Q2
FAR-000070,2024-02,CC-1003,Paint Shop,GL-5001,Raw Materials,Lansing Plant,116433.82,158300.21,41866.39,35.96,exec.admin@michiganauto.com,2025-11-23,john.smith@michiganauto.com,JNL-310741,False,2024,Q4
FAR-000071,2024-03,CC-2002,Tooling & Fixtures,GL-4002,Indirect Labour,Flint Plant,151097.59,150126.69,-970.9,-0.64,exec.admin@michiganauto.com,2025-07-11,ds.lead@michiganauto.com,JNL-806841,False,2024,Q2
FAR-000072,2024-12,CC-3001,Finance & Admin,GL-4003,Contractor Cost,Flint Plant,106756.82,149700.38,42943.56,40.23,analyst2@michiganauto.com,2026-03-15,ds.lead@michiganauto.com,JNL-324550,False,2024,Q1
FAR-000073,2024-01,CC-1003,Paint Shop,GL-5002,Consumables,Detroit Plant,124243.58,148126.48,23882.9,19.22,analyst1@michiganauto.com,2026-02-27,ops.lead@michiganauto.com,JNL-764064,True,2024,Q1
FAR-000074,2024-01,CC-3001,Finance & Admin,GL-6001,Maintenance Parts,Lansing Plant,9588.83,6029.41,-3559.42,-37.12,analyst2@michiganauto.com,2026-01-22,maint.mgr@michiganauto.com,JNL-895820,True,2024,Q3
FAR-000075,2024-09,CC-2001,Maintenance Eng,GL-4001,Direct Labour,Detroit Plant,247057.33,274520.64,27463.31,11.12,analyst2@michiganauto.com,2026-04-09,ds.lead@michiganauto.com,JNL-344803,True,2024,Q4
FAR-000076,2024-04,CC-2002,Tooling & Fixtures,GL-5003,Tooling,Flint Plant,14025.26,9594.48,-4430.78,-31.59,finance@michiganauto.com,2026-05-23,john.smith@michiganauto.com,JNL-619705,False,2024,Q4
FAR-000077,2024-11,CC-1005,Quality Control,GL-4002,Indirect Labour,Detroit Plant,19177.02,24747.07,5570.05,29.05,finance@michiganauto.com,2026-05-07,ds.lead@michiganauto.com,JNL-273400,False,2024,Q1
FAR-000078,2024-01,CC-1005,Quality Control,GL-5003,Tooling,Lansing Plant,102073.83,132036.57,29962.74,29.35,analyst2@michiganauto.com,2025-06-09,ops.lead@michiganauto.com,JNL-492551,False,2024,Q3
FAR-000079,2024-04,CC-1001,Stamping Dept,GL-4001,Direct Labour,Flint Plant,213743.53,150390.71,-63352.82,-29.64,exec.admin@michiganauto.com,2026-05-16,john.smith@michiganauto.com,JNL-790157,False,2024,Q1
FAR-000080,2024-01,CC-1003,Paint Shop,GL-5004,Energy,Lansing Plant,16064.24,16212.01,147.77,0.92,finance@michiganauto.com,2026-02-25,ops.lead@michiganauto.com,JNL-920181,True,2024,Q2
FAR-000081,2024-03,CC-1004,Assembly Dept,GL-7001,Overhead Allocation,Detroit Plant,171657.54,139697.81,-31959.73,-18.62,analyst2@michiganauto.com,2026-03-13,john.smith@michiganauto.com,JNL-421646,False,2024,Q4
FAR-000082,2024-08,CC-3002,IT Operations,GL-5003,Tooling,Lansing Plant,218902.48,295708.99,76806.51,35.09,finance@michiganauto.com,2025-07-03,ops.lead@michiganauto.com,JNL-108338,False,2024,Q1
FAR-000083,2024-04,CC-1005,Quality Control,GL-7001,Overhead Allocation,Flint Plant,242488.4,174649.99,-67838.41,-27.98,finance@michiganauto.com,2026-01-15,ops.lead@michiganauto.com,JNL-599053,True,2024,Q1
FAR-000084,2024-03,CC-2001,Maintenance Eng,GL-5002,Consumables,Detroit Plant,91061.2,120257.55,29196.35,32.06,analyst1@michiganauto.com,2025-10-17,ops.lead@michiganauto.com,JNL-827638,False,2024,Q2
FAR-000085,2024-03,CC-1005,Quality Control,GL-7001,Overhead Allocation,Lansing Plant,158275.32,128936.81,-29338.51,-18.54,analyst1@michiganauto.com,2025-11-23,john.smith@michiganauto.com,JNL-317378,False,2024,Q2
FAR-000086,2024-03,CC-2002,Tooling & Fixtures,GL-5003,Tooling,Lansing Plant,75566.35,83916.24,8349.89,11.05,analyst1@michiganauto.com,2026-05-13,ops.lead@michiganauto.com,JNL-527627,False,2024,Q3
FAR-000087,2024-05,CC-2003,HSE & Compliance,GL-6001,Maintenance Parts,Detroit Plant,109946.91,163766.71,53819.8,48.95,analyst1@michiganauto.com,2026-01-03,john.smith@michiganauto.com,JNL-931944,False,2024,Q1
FAR-000088,2024-07,CC-2002,Tooling & Fixtures,GL-5003,Tooling,Flint Plant,113205.5,127997.31,14791.81,13.07,analyst1@michiganauto.com,2025-09-12,ops.lead@michiganauto.com,JNL-958149,False,2024,Q1
FAR-000089,2024-11,CC-1003,Paint Shop,GL-5003,Tooling,Lansing Plant,148457.17,110505.94,-37951.23,-25.56,finance@michiganauto.com,2025-11-26,ds.lead@michiganauto.com,JNL-603442,True,2024,Q1
FAR-000090,2024-02,CC-1004,Assembly Dept,GL-4002,Indirect Labour,Flint Plant,228496.73,275939.04,47442.31,20.76,exec.admin@michiganauto.com,2025-11-05,maint.mgr@michiganauto.com,JNL-322203,False,2024,Q4
FAR-000091,2024-02,CC-2003,HSE & Compliance,GL-7001,Overhead Allocation,Detroit Plant,82011.46,102870.83,20859.37,25.43,exec.admin@michiganauto.com,2025-06-24,ops.lead@michiganauto.com,JNL-480469,True,2024,Q2
FAR-000092,2024-09,CC-1004,Assembly Dept,GL-5003,Tooling,Detroit Plant,98231.95,96571.92,-1660.03,-1.69,exec.admin@michiganauto.com,2025-07-18,ds.lead@michiganauto.com,JNL-516744,False,2024,Q3
FAR-000093,2024-10,CC-2002,Tooling & Fixtures,GL-5003,Tooling,Detroit Plant,26399.54,32097.44,5697.9,21.58,exec.admin@michiganauto.com,2026-04-30,john.smith@michiganauto.com,JNL-728292,False,2024,Q2
FAR-000094,2024-04,CC-2003,HSE & Compliance,GL-5003,Tooling,Detroit Plant,29057.69,36689.64,7631.95,26.26,finance@michiganauto.com,2026-02-17,john.smith@michiganauto.com,JNL-763111,False,2024,Q1
FAR-000095,2024-05,CC-2001,Maintenance Eng,GL-5001,Raw Materials,Flint Plant,15752.31,11288.73,-4463.58,-28.34,exec.admin@michiganauto.com,2025-08-17,ops.lead@michiganauto.com,JNL-125396,False,2024,Q2
FAR-000096,2024-07,CC-1005,Quality Control,GL-4002,Indirect Labour,Detroit Plant,65489.49,73569.99,8080.5,12.34,analyst2@michiganauto.com,2026-02-11,john.smith@michiganauto.com,JNL-668626,True,2024,Q2
FAR-000097,2024-02,CC-2001,Maintenance Eng,GL-6002,External Repairs,Detroit Plant,130435.96,170052.26,39616.3,30.37,analyst2@michiganauto.com,2026-04-25,ds.lead@michiganauto.com,JNL-159737,False,2024,Q2
FAR-000098,2024-08,CC-1004,Assembly Dept,GL-5001,Raw Materials,Detroit Plant,41368.49,25492.37,-15876.12,-38.38,analyst1@michiganauto.com,2025-09-15,ops.lead@michiganauto.com,JNL-552338,False,2024,Q2
FAR-000099,2024-05,CC-2001,Maintenance Eng,GL-6002,External Repairs,Detroit Plant,118824.17,170909.11,52084.94,43.83,analyst2@michiganauto.com,2026-01-07,ds.lead@michiganauto.com,JNL-844064,False,2024,Q1
FAR-000100,2024-06,CC-2001,Maintenance Eng,GL-4003,Contractor Cost,Lansing Plant,92542.73,98010.54,5467.81,5.91,analyst1@michiganauto.com,2025-08-13,john.smith@michiganauto.com,JNL-141919,False,2024,Q4
FAR-000101,2024-04,CC-3001,Finance & Admin,GL-5002,Consumables,Lansing Plant,151745.53,169882.59,18137.06,11.95,analyst1@michiganauto.com,2026-05-15,ds.lead@michiganauto.com,JNL-283165,False,2024,Q3
FAR-000102,2024-01,CC-1005,Quality Control,GL-7001,Overhead Allocation,Flint Plant,52219.37,32316.85,-19902.52,-38.11,finance@michiganauto.com,2025-07-07,ds.lead@michiganauto.com,JNL-806910,True,2024,Q3
FAR-000103,2024-01,CC-2001,Maintenance Eng,GL-7001,Overhead Allocation,Detroit Plant,129644.56,108549.72,-21094.84,-16.27,analyst1@michiganauto.com,2026-02-05,maint.mgr@michiganauto.com,JNL-633710,False,2024,Q2
FAR-000104,2024-05,CC-1001,Stamping Dept,GL-6002,External Repairs,Flint Plant,74649.05,58077.23,-16571.82,-22.2,analyst2@michiganauto.com,2025-08-25,ops.lead@michiganauto.com,JNL-140157,True,2024,Q1
FAR-000105,2024-04,CC-3001,Finance & Admin,GL-4001,Direct Labour,Lansing Plant,210522.0,169448.52,-41073.48,-19.51,finance@michiganauto.com,2025-11-10,john.smith@michiganauto.com,JNL-796879,False,2024,Q2
FAR-000106,2024-09,CC-1005,Quality Control,GL-5003,Tooling,Detroit Plant,78808.29,104369.51,25561.22,32.43,analyst2@michiganauto.com,2026-05-01,ds.lead@michiganauto.com,JNL-590271,False,2024,Q2
FAR-000107,2024-04,CC-2002,Tooling & Fixtures,GL-6002,External Repairs,Lansing Plant,92180.66,136429.73,44249.07,48.0,finance@michiganauto.com,2025-08-06,ops.lead@michiganauto.com,JNL-406186,False,2024,Q4
FAR-000108,2024-03,CC-1002,Welding Dept,GL-5002,Consumables,Detroit Plant,9643.5,7808.71,-1834.79,-19.03,exec.admin@michiganauto.com,2026-02-04,ops.lead@michiganauto.com,JNL-976203,False,2024,Q2
FAR-000109,2024-01,CC-1005,Quality Control,GL-5003,Tooling,Flint Plant,76141.18,58632.62,-17508.56,-22.99,analyst2@michiganauto.com,2025-08-07,ds.lead@michiganauto.com,JNL-312108,False,2024,Q4
FAR-000110,2024-08,CC-2001,Maintenance Eng,GL-5003,Tooling,Flint Plant,156389.51,153265.09,-3124.42,-2.0,analyst2@michiganauto.com,2026-05-01,ds.lead@michiganauto.com,JNL-782798,False,2024,Q1
FAR-000111,2024-08,CC-1004,Assembly Dept,GL-6001,Maintenance Parts,Flint Plant,139864.75,184345.94,44481.19,31.8,exec.admin@michiganauto.com,2025-09-04,ds.lead@michiganauto.com,JNL-393271,False,2024,Q3
FAR-000112,2024-01,CC-1005,Quality Control,GL-4001,Direct Labour,Flint Plant,5830.77,8380.84,2550.07,43.73,analyst2@michiganauto.com,2026-04-30,ds.lead@michiganauto.com,JNL-312896,False,2024,Q4
FAR-000113,2024-08,CC-2001,Maintenance Eng,GL-5004,Energy,Lansing Plant,104002.45,81993.04,-22009.41,-21.16,analyst1@michiganauto.com,2025-10-09,ds.lead@michiganauto.com,JNL-218373,False,2024,Q4
FAR-000114,2024-10,CC-2003,HSE & Compliance,GL-7001,Overhead Allocation,Lansing Plant,85087.22,57926.11,-27161.11,-31.92,exec.admin@michiganauto.com,2025-06-19,maint.mgr@michiganauto.com,JNL-318566,False,2024,Q3
FAR-000115,2024-04,CC-1002,Welding Dept,GL-7001,Overhead Allocation,Flint Plant,236772.55,291405.73,54633.18,23.07,finance@michiganauto.com,2025-10-14,maint.mgr@michiganauto.com,JNL-511298,False,2024,Q4
FAR-000116,2024-12,CC-1003,Paint Shop,GL-5002,Consumables,Lansing Plant,180667.19,211246.32,30579.13,16.93,exec.admin@michiganauto.com,2025-07-20,ds.lead@michiganauto.com,JNL-921901,False,2024,Q2
FAR-000117,2024-07,CC-1003,Paint Shop,GL-5002,Consumables,Lansing Plant,136281.0,178157.99,41876.99,30.73,analyst2@michiganauto.com,2026-03-31,john.smith@michiganauto.com,JNL-525190,True,2024,Q3
FAR-000118,2024-12,CC-1003,Paint Shop,GL-5003,Tooling,Flint Plant,216298.61,131308.6,-84990.01,-39.29,analyst1@michiganauto.com,2026-05-06,maint.mgr@michiganauto.com,JNL-607658,True,2024,Q3
