kpi_id,date,shift,machine_id,machine_name,plant,planned_minutes,run_time_minutes,downtime_minutes,availability_pct,performance_pct,quality_pct,oee_pct,total_parts,good_parts,scrap_parts,theoretical_output,actual_output,energy_kwh
KPI-000023,2026-05-18,Afternoon,MCH-001,Press Line A,Detroit Plant,480,391,88,0.8165,0.8159,0.981,0.6535,217,212,5,694,495,200.09
KPI-000024,2026-05-18,Night,MCH-001,Press Line A,Flint Plant,480,468,11,0.9756,0.8547,0.98,0.8172,539,528,11,540,411,283.28
KPI-000025,2026-05-17,Morning,MCH-001,Press Line A,Detroit Plant,480,411,68,0.8567,0.8488,0.9225,0.6708,462,426,36,565,483,195.06
KPI-000026,2026-05-17,Afternoon,MCH-001,Press Line A,Flint Plant,480,456,23,0.9511,0.7311,0.9825,0.6832,400,393,7,656,293,178.63
KPI-000027,2026-05-17,Night,MCH-001,Press Line A,Lansing Plant,480,368,111,0.7671,0.8267,0.9953,0.6312,371,369,2,656,430,100.29
KPI-000028,2026-05-16,Morning,MCH-001,Press Line A,Flint Plant,480,362,117,0.7542,0.8657,0.9411,0.6145,333,313,20,513,497,261.96
KPI-000029,2026-05-16,Afternoon,MCH-001,Press Line A,Lansing Plant,480,472,7,0.9838,0.8276,0.9886,0.8049,295,291,4,496,447,263.41
KPI-000030,2026-05-16,Night,MCH-001,Press Line A,Flint Plant,480,390,89,0.8129,0.8646,0.9879,0.6943,570,563,7,563,577,293.13
KPI-000031,2026-05-15,Morning,MCH-001,Press Line A,Detroit Plant,480,382,97,0.7976,0.7563,0.9622,0.5804,380,365,15,516,330,82.84
KPI-000032,2026-05-15,Afternoon,MCH-001,Press Line A,Flint Plant,480,395,84,0.8248,0.7205,0.9714,0.5773,435,422,13,478,471,239.17
KPI-000033,2026-05-15,Night,MCH-001,Press Line A,Flint Plant,480,473,6,0.986,0.9105,0.9873,0.8864,368,363,5,585,459,284.46
KPI-000034,2026-05-14,Morning,MCH-001,Press Line A,Flint Plant,480,391,88,0.8151,0.9198,0.9461,0.7093,465,439,26,437,531,183.44
KPI-000035,2026-05-14,Afternoon,MCH-001,Press Line A,Flint Plant,480,407,72,0.8495,0.8297,0.9347,0.6588,440,411,29,408,374,231.44
KPI-000036,2026-05-14,Night,MCH-001,Press Line A,Flint Plant,480,409,70,0.8531,0.7981,0.9732,0.6626,465,452,13,530,399,297.35
KPI-000037,2026-05-13,Morning,MCH-001,Press Line A,Flint Plant,480,456,23,0.9502,0.9383,0.9519,0.8487,401,381,20,469,503,170.84
KPI-000038,2026-05-13,Afternoon,MCH-001,Press Line A,Flint Plant,480,423,56,0.882,0.9135,0.973,0.784,489,475,14,509,434,209.93
KPI-000039,2026-05-13,Night,MCH-001,Press Line A,Flint Plant,480,352,127,0.7343,0.766,0.9294,0.5228,592,550,42,565,510,201.69
KPI-000040,2026-05-12,Morning,MCH-001,Press Line A,Lansing Plant,480,449,30,0.9361,0.8226,0.9519,0.733,355,337,18,606,501,288.25
KPI-000041,2026-05-12,Afternoon,MCH-001,Press Line A,Lansing Plant,480,444,35,0.9266,0.8186,0.938,0.7115,446,418,28,427,423,256.89
KPI-000042,2026-05-12,Night,MCH-001,Press Line A,Lansing Plant,480,453,26,0.9457,0.8467,0.9984,0.7994,579,578,1,630,446,191.32
KPI-000043,2026-05-11,Morning,MCH-001,Press Line A,Lansing Plant,480,380,99,0.7931,0.8025,0.9408,0.5988,379,356,23,536,498,118.96
KPI-000044,2026-05-11,Afternoon,MCH-001,Press Line A,Detroit Plant,480,352,127,0.7349,0.8664,0.9418,0.5997,463,436,27,536,510,232.02
KPI-000045,2026-05-11,Night,MCH-001,Press Line A,Flint Plant,480,449,30,0.9357,0.8919,0.9538,0.796,272,259,13,459,383,247.99
KPI-000046,2026-05-10,Morning,MCH-001,Press Line A,Flint Plant,480,447,32,0.9315,0.9388,0.9979,0.8727,446,445,1,585,529,216.9
KPI-000047,2026-05-10,Afternoon,MCH-001,Press Line A,Flint Plant,480,338,141,0.7045,0.8463,0.9658,0.5758,201,194,7,635,456,223.86
KPI-000048,2026-05-10,Night,MCH-001,Press Line A,Detroit Plant,480,428,51,0.8924,0.8397,0.9251,0.6932,329,304,25,479,387,224.29
KPI-000049,2026-05-09,Morning,MCH-001,Press Line A,Flint Plant,480,367,112,0.765,0.8007,0.9652,0.5912,554,534,20,465,440,136.51
KPI-000050,2026-05-09,Afternoon,MCH-001,Press Line A,Lansing Plant,480,379,100,0.7914,0.924,0.9321,0.6816,376,350,26,700,437,280.3
KPI-000051,2026-05-09,Night,MCH-001,Press Line A,Lansing Plant,480,470,9,0.9804,0.7559,0.9915,0.7348,278,275,3,664,383,146.34
KPI-000052,2026-05-08,Morning,MCH-001,Press Line A,Lansing Plant,480,390,89,0.8128,0.9187,0.987,0.737,383,378,5,446,406,260.38
KPI-000053,2026-05-08,Afternoon,MCH-001,Press Line A,Detroit Plant,480,412,67,0.8601,0.8137,0.9865,0.6904,295,291,4,700,384,296.78
KPI-000054,2026-05-08,Night,MCH-001,Press Line A,Detroit Plant,480,455,24,0.948,0.9325,0.9625,0.8509,390,375,15,519,466,145.26
KPI-000055,2026-05-07,Morning,MCH-001,Press Line A,Flint Plant,480,356,123,0.7419,0.7779,0.9503,0.5484,407,386,21,454,500,275.3
KPI-000056,2026-05-07,Afternoon,MCH-001,Press Line A,Detroit Plant,480,384,95,0.8019,0.7961,0.9403,0.6003,320,300,20,567,331,291.73
KPI-000057,2026-05-07,Night,MCH-001,Press Line A,Lansing Plant,480,436,43,0.9103,0.9634,0.9494,0.8326,426,404,22,445,645,299.33
KPI-000058,2026-05-06,Morning,MCH-001,Press Line A,Flint Plant,480,433,46,0.9026,0.8284,0.9648,0.7214,596,575,21,430,440,255.3
KPI-000059,2026-05-06,Afternoon,MCH-001,Press Line A,Detroit Plant,480,376,103,0.7848,0.7728,0.9894,0.6001,375,371,4,435,442,268.83
KPI-000060,2026-05-06,Night,MCH-001,Press Line A,Detroit Plant,480,370,109,0.7712,0.877,0.995,0.673,288,286,2,584,579,295.99
KPI-000061,2026-05-05,Morning,MCH-001,Press Line A,Lansing Plant,480,463,16,0.9659,0.9015,0.9955,0.8668,573,570,3,539,385,213.84
KPI-000062,2026-05-05,Afternoon,MCH-001,Press Line A,Detroit Plant,480,421,58,0.8772,0.7588,0.9551,0.6357,303,289,14,677,458,119.33
KPI-000063,2026-05-05,Night,MCH-001,Press Line A,Lansing Plant,480,408,71,0.8508,0.7705,0.9543,0.6256,505,481,24,589,466,240.65
KPI-000064,2026-05-04,Morning,MCH-001,Press Line A,Lansing Plant,480,421,58,0.8782,0.8753,0.955,0.7341,517,493,24,485,365,207.14
KPI-000065,2026-05-04,Afternoon,MCH-001,Press Line A,Flint Plant,480,386,93,0.8043,0.8475,0.9315,0.635,398,370,28,587,366,260.94
KPI-000066,2026-05-04,Night,MCH-001,Press Line A,Flint Plant,480,399,80,0.8323,0.7239,0.9553,0.5756,364,347,17,470,380,143.92
KPI-000067,2026-05-03,Morning,MCH-001,Press Line A,Detroit Plant,480,444,35,0.9259,0.7393,0.999,0.6838,395,394,1,624,416,311.34
KPI-000068,2026-05-03,Afternoon,MCH-001,Press Line A,Detroit Plant,480,351,128,0.7329,0.8344,0.9774,0.5977,490,478,12,602,521,110.27
KPI-000069,2026-05-03,Night,MCH-001,Press Line A,Detroit Plant,480,471,8,0.9822,0.7227,0.9587,0.6805,551,528,23,683,295,269.51
KPI-000070,2026-05-02,Morning,MCH-001,Press Line A,Flint Plant,480,363,116,0.7577,0.9354,0.9599,0.6803,310,297,13,645,424,160.51
KPI-000071,2026-05-02,Afternoon,MCH-001,Press Line A,Detroit Plant,480,452,27,0.9421,0.9613,0.956,0.8658,552,527,25,418,466,246.81
KPI-000072,2026-05-02,Night,MCH-001,Press Line A,Detroit Plant,480,386,93,0.8053,0.741,0.9731,0.5807,309,300,9,454,446,310.07
KPI-000073,2026-05-01,Morning,MCH-001,Press Line A,Lansing Plant,480,469,10,0.9777,0.7301,0.9714,0.6934,382,371,11,511,434,183.43
KPI-000074,2026-05-01,Afternoon,MCH-001,Press Line A,Flint Plant,480,469,10,0.979,0.9304,0.9249,0.8425,372,344,28,519,423,101.5
KPI-000075,2026-05-01,Night,MCH-001,Press Line A,Flint Plant,480,420,59,0.8765,0.9566,0.9409,0.7889,400,376,24,557,418,231.81
KPI-000076,2026-04-30,Morning,MCH-001,Press Line A,Lansing Plant,480,349,130,0.7286,0.9639,0.9793,0.6878,516,505,11,666,446,205.41
KPI-000077,2026-04-30,Afternoon,MCH-001,Press Line A,Flint Plant,480,364,115,0.7584,0.7539,0.9981,0.5707,321,320,1,487,465,279.77
KPI-000078,2026-04-30,Night,MCH-001,Press Line A,Lansing Plant,480,462,17,0.9626,0.7238,0.9844,0.6859,452,444,8,571,467,293.01
KPI-000079,2026-04-29,Morning,MCH-001,Press Line A,Detroit Plant,480,409,70,0.8531,0.7866,0.9466,0.6352,274,259,15,522,379,113.42
KPI-000080,2026-04-29,Afternoon,MCH-001,Press Line A,Flint Plant,480,336,143,0.7016,0.966,0.9606,0.651,557,535,22,419,422,99.25
KPI-000081,2026-04-29,Night,MCH-001,Press Line A,Lansing Plant,480,401,78,0.8374,0.9419,0.9973,0.7866,257,256,1,465,594,113.67
KPI-000082,2026-04-28,Morning,MCH-001,Press Line A,Detroit Plant,480,453,26,0.9447,0.9553,0.9695,0.8749,569,551,18,528,464,92.59
KPI-000083,2026-04-28,Afternoon,MCH-001,Press Line A,Lansing Plant,480,346,133,0.7221,0.7853,0.9703,0.5502,371,359,12,538,396,135.17
KPI-000084,2026-04-28,Night,MCH-001,Press Line A,Lansing Plant,480,433,46,0.9032,0.8604,0.9728,0.756,542,527,15,669,380,181.91
KPI-000085,2026-04-27,Morning,MCH-001,Press Line A,Flint Plant,480,456,23,0.9518,0.811,0.9417,0.7269,391,368,23,453,472,304.77
KPI-000086,2026-04-27,Afternoon,MCH-001,Press Line A,Flint Plant,480,366,113,0.7638,0.7915,0.9983,0.6035,219,218,1,473,357,273.85
KPI-000087,2026-04-27,Night,MCH-001,Press Line A,Lansing Plant,480,422,57,0.8793,0.8172,0.9358,0.6724,289,270,19,668,358,184.11
KPI-000088,2026-04-26,Morning,MCH-001,Press Line A,Detroit Plant,480,417,62,0.8694,0.7433,0.9617,0.6215,321,308,13,629,305,144.33
KPI-000089,2026-04-26,Afternoon,MCH-001,Press Line A,Detroit Plant,480,347,132,0.7249,0.9547,0.9937,0.6877,539,535,4,564,546,88.12
KPI-000090,2026-04-26,Night,MCH-001,Press Line A,Detroit Plant,480,433,46,0.9023,0.738,0.92,0.6126,534,491,43,646,468,135.33
KPI-000091,2026-04-25,Morning,MCH-001,Press Line A,Detroit Plant,480,405,74,0.8456,0.8666,0.9593,0.703,509,488,21,518,579,193.4
KPI-000092,2026-04-25,Afternoon,MCH-001,Press Line A,Lansing Plant,480,468,11,0.977,0.8899,0.9662,0.84,563,543,20,406,463,152.79
KPI-000093,2026-04-25,Night,MCH-001,Press Line A,Flint Plant,480,370,109,0.7729,0.8879,0.9321,0.6397,432,402,30,561,403,152.2
KPI-000094,2026-04-24,Morning,MCH-001,Press Line A,Flint Plant,480,465,14,0.9698,0.9436,0.9842,0.9006,377,371,6,426,455,90.97
KPI-000095,2026-04-24,Afternoon,MCH-001,Press Line A,Detroit Plant,480,386,93,0.8048,0.9649,0.9873,0.7667,290,286,4,442,446,207.32
KPI-000096,2026-04-24,Night,MCH-001,Press Line A,Flint Plant,480,386,93,0.8042,0.7345,0.947,0.5594,373,353,20,653,373,244.4
KPI-000097,2026-04-23,Morning,MCH-001,Press Line A,Lansing Plant,480,417,62,0.8705,0.913,0.9257,0.7357,368,340,28,415,600,308.19
KPI-000098,2026-04-23,Afternoon,MCH-001,Press Line A,Lansing Plant,480,337,142,0.7021,0.8034,0.9889,0.5578,582,575,7,452,515,194.47
KPI-000099,2026-04-23,Night,MCH-001,Press Line A,Lansing Plant,480,345,134,0.7193,0.7957,0.933,0.534,586,546,40,684,488,147.29
KPI-000100,2026-04-22,Morning,MCH-001,Press Line A,Lansing Plant,480,468,11,0.976,0.9283,0.9448,0.856,593,560,33,559,427,146.24
KPI-000101,2026-04-22,Afternoon,MCH-001,Press Line A,Flint Plant,480,436,43,0.9097,0.7501,0.9838,0.6713,564,554,10,523,387,270.01
KPI-000102,2026-04-22,Night,MCH-001,Press Line A,Lansing Plant,480,353,126,0.7368,0.7681,0.9479,0.5365,569,539,30,690,469,172.11
KPI-000103,2026-04-21,Morning,MCH-001,Press Line A,Flint Plant,480,397,82,0.8276,0.8472,0.9937,0.6967,488,484,4,671,522,97.01
KPI-000104,2026-04-21,Afternoon,MCH-001,Press Line A,Flint Plant,480,337,142,0.7029,0.9677,0.9386,0.6384,433,406,27,686,629,285.78
KPI-000105,2026-04-21,Night,MCH-001,Press Line A,Detroit Plant,480,465,14,0.969,0.9561,0.9924,0.9194,418,414,4,401,617,286.04
KPI-000106,2026-04-20,Morning,MCH-001,Press Line A,Flint Plant,480,358,121,0.7478,0.8206,0.9838,0.6037,232,228,4,518,478,311.2
KPI-000107,2026-04-20,Afternoon,MCH-001,Press Line A,Lansing Plant,480,396,83,0.8262,0.962,0.9759,0.7756,302,294,8,542,420,87.45
KPI-000108,2026-04-20,Night,MCH-001,Press Line A,Lansing Plant,480,443,36,0.9232,0.9496,0.9322,0.8172,352,328,24,416,437,149.62
KPI-000109,2026-04-19,Morning,MCH-001,Press Line A,Lansing Plant,480,422,57,0.8802,0.8571,0.949,0.7159,458,434,24,673,524,81.72
KPI-000110,2026-04-19,Afternoon,MCH-001,Press Line A,Flint Plant,480,443,36,0.9243,0.8345,0.991,0.7644,320,317,3,435,579,206.01
KPI-000111,2026-04-19,Night,MCH-001,Press Line A,Flint Plant,480,438,41,0.9143,0.9184,0.9831,0.8255,431,423,8,661,616,297.26
KPI-000112,2026-04-18,Morning,MCH-001,Press Line A,Flint Plant,480,342,137,0.7136,0.7981,0.9629,0.5484,433,416,17,659,535,83.12
KPI-000113,2026-04-18,Afternoon,MCH-001,Press Line A,Flint Plant,480,431,48,0.8991,0.876,0.947,0.7459,254,240,14,539,361,166.5
KPI-000114,2026-04-18,Night,MCH-001,Press Line A,Lansing Plant,480,370,109,0.7716,0.8821,0.9945,0.6769,315,313,2,645,481,220.95
KPI-000115,2026-04-17,Morning,MCH-001,Press Line A,Lansing Plant,480,467,12,0.9745,0.8718,0.9244,0.7853,343,317,26,652,448,219.63
KPI-000116,2026-04-17,Afternoon,MCH-001,Press Line A,Lansing Plant,480,395,84,0.8235,0.7979,0.9383,0.6165,320,300,20,683,382,270.19
KPI-000117,2026-04-17,Night,MCH-001,Press Line A,Lansing Plant,480,434,45,0.9057,0.7384,0.9276,0.6204,391,362,29,580,317,260.84
KPI-000118,2026-04-16,Morning,MCH-001,Press Line A,Flint Plant,480,462,17,0.9635,0.9163,0.9621,0.8494,222,213,9,559,399,231.29
KPI-000119,2026-04-16,Afternoon,MCH-001,Press Line A,Detroit Plant,480,374,105,0.7796,0.8698,0.9747,0.6609,335,326,9,637,546,231.75
KPI-000120,2026-04-16,Night,MCH-001,Press Line A,Flint Plant,480,423,56,0.8833,0.7367,0.9424,0.6132,361,340,21,486,393,209.96
KPI-000121,2026-04-15,Morning,MCH-001,Press Line A,Detroit Plant,480,393,86,0.8191,0.8257,0.9361,0.6331,484,453,31,694,391,152.13
KPI-000122,2026-04-15,Afternoon,MCH-001,Press Line A,Detroit Plant,480,463,16,0.9664,0.7891,0.9543,0.7277,308,293,15,548,448,134.93
KPI-000123,2026-04-15,Night,MCH-001,Press Line A,Lansing Plant,480,436,43,0.9094,0.8274,0.9859,0.7418,268,264,4,676,541,170.95
KPI-000124,2026-04-14,Morning,MCH-001,Press Line A,Flint Plant,480,408,71,0.851,0.9306,0.9212,0.7295,290,267,23,422,419,165.6
KPI-000125,2026-04-14,Afternoon,MCH-001,Press Line A,Detroit Plant,480,422,57,0.8793,0.8906,0.9767,0.7649,204,199,5,607,526,310.86
KPI-000126,2026-04-14,Night,MCH-001,Press Line A,Flint Plant,480,416,63,0.8682,0.8235,0.9389,0.6713,375,352,23,637,481,99.74
KPI-000127,2026-04-13,Morning,MCH-001,Press Line A,Lansing Plant,480,422,57,0.8797,0.7762,0.9399,0.6418,320,300,20,423,457,284.35
KPI-000128,2026-04-13,Afternoon,MCH-001,Press Line A,Detroit Plant,480,429,50,0.8949,0.7523,0.9941,0.6693,330,328,2,668,482,112.38
KPI-000129,2026-04-13,Night,MCH-001,Press Line A,Detroit Plant,480,420,59,0.8756,0.7747,0.9959,0.6755,459,457,2,441,412,218.35
KPI-000130,2026-04-12,Morning,MCH-001,Press Line A,Lansing Plant,480,368,111,0.7668,0.8456,0.9416,0.6105,403,379,24,556,356,199.38
KPI-000131,2026-04-12,Afternoon,MCH-001,Press Line A,Detroit Plant,480,421,58,0.8788,0.8798,0.9713,0.751,585,568,17,500,600,246.15
KPI-000132,2026-04-12,Night,MCH-001,Press Line A,Flint Plant,480,367,112,0.7646,0.8312,0.9257,0.5883,407,376,31,434,423,228.39
KPI-000133,2026-04-11,Morning,MCH-001,Press Line A,Lansing Plant,480,462,17,0.9635,0.8718,0.9921,0.8333,570,565,5,600,426,282.81
KPI-000134,2026-04-11,Afternoon,MCH-001,Press Line A,Detroit Plant,480,436,43,0.9084,0.9506,0.9775,0.8441,455,444,11,605,395,301.11
KPI-000135,2026-04-11,Night,MCH-001,Press Line A,Detroit Plant,480,365,114,0.7624,0.9577,0.9985,0.7291,439,438,1,624,493,192.32
KPI-000136,2026-04-10,Morning,MCH-001,Press Line A,Detroit Plant,480,431,48,0.8986,0.9103,0.9409,0.7697,331,311,20,690,401,181.38
KPI-000137,2026-04-10,Afternoon,MCH-001,Press Line A,Flint Plant,480,375,104,0.7822,0.8405,0.9888,0.6501,565,558,7,489,564,83.78
KPI-000138,2026-04-10,Night,MCH-001,Press Line A,Lansing Plant,480,379,100,0.791,0.9612,0.9895,0.7523,217,214,3,479,602,201.38
KPI-000139,2026-04-09,Morning,MCH-001,Press Line A,Detroit Plant,480,469,10,0.9773,0.8107,0.9869,0.7819,356,351,5,474,380,220.81
KPI-000140,2026-04-09,Afternoon,MCH-001,Press Line A,Detroit Plant,480,445,34,0.9273,0.7409,0.9449,0.6492,490,463,27,430,409,237.73
KPI-000141,2026-04-09,Night,MCH-001,Press Line A,Flint Plant,480,442,37,0.9214,0.7581,0.9929,0.6936,244,242,2,505,457,229.88
KPI-000142,2026-04-08,Morning,MCH-001,Press Line A,Detroit Plant,480,356,123,0.7426,0.9448,0.9691,0.6799,217,210,7,432,584,209.21
KPI-000143,2026-04-08,Afternoon,MCH-001,Press Line A,Flint Plant,480,422,57,0.8802,0.9528,0.976,0.8185,356,347,9,491,429,258.13
KPI-000144,2026-04-08,Night,MCH-001,Press Line A,Lansing Plant,480,466,13,0.9721,0.9166,0.9707,0.8649,550,533,17,574,528,166.82
KPI-000145,2026-04-07,Morning,MCH-001,Press Line A,Lansing Plant,480,407,72,0.8491,0.7865,0.9722,0.6493,202,196,6,533,514,87.75
KPI-000146,2026-04-07,Afternoon,MCH-001,Press Line A,Flint Plant,480,394,85,0.8212,0.7619,0.9931,0.6214,478,474,4,666,473,82.69
KPI-000147,2026-04-07,Night,MCH-001,Press Line A,Flint Plant,480,425,54,0.886,0.7802,0.9213,0.6369,254,234,20,578,396,311.28
KPI-000148,2026-04-06,Morning,MCH-001,Press Line A,Flint Plant,480,451,28,0.9404,0.7242,0.9512,0.6478,524,498,26,460,354,154.51
KPI-000149,2026-04-06,Afternoon,MCH-001,Press Line A,Detroit Plant,480,416,63,0.8675,0.8453,0.9677,0.7096,338,327,11,476,513,213.93
KPI-000150,2026-04-06,Night,MCH-001,Press Line A,Lansing Plant,480,344,135,0.7171,0.8214,0.9439,0.556,291,274,17,677,459,86.24
KPI-000151,2026-04-05,Morning,MCH-001,Press Line A,Flint Plant,480,389,90,0.8116,0.9422,0.97,0.7417,556,539,17,400,563,81.35
KPI-000152,2026-04-05,Afternoon,MCH-001,Press Line A,Detroit Plant,480,401,78,0.8361,0.9689,0.9933,0.8047,220,218,2,644,456,205.67
KPI-000153,2026-04-05,Night,MCH-001,Press Line A,Detroit Plant,480,404,75,0.8421,0.9554,0.9459,0.761,446,421,25,563,413,226.91
KPI-000154,2026-04-04,Morning,MCH-001,Press Line A,Flint Plant,480,380,99,0.7919,0.8236,0.9525,0.6212,593,564,29,579,453,233.85
KPI-000155,2026-04-04,Afternoon,MCH-001,Press Line A,Flint Plant,480,353,126,0.7355,0.9403,0.9812,0.6786,360,353,7,589,567,120.4
KPI-000156,2026-04-04,Night,MCH-001,Press Line A,Flint Plant,480,463,16,0.9651,0.8882,0.9574,0.8207,533,510,23,533,412,275.63
KPI-000157,2026-04-03,Morning,MCH-001,Press Line A,Lansing Plant,480,412,67,0.8593,0.9558,0.9364,0.7691,588,550,38,543,644,163.01
KPI-000158,2026-04-03,Afternoon,MCH-001,Press Line A,Detroit Plant,480,417,62,0.8688,0.8797,0.9403,0.7187,509,478,31,536,421,203.32
KPI-000159,2026-04-03,Night,MCH-001,Press Line A,Detroit Plant,480,369,110,0.7692,0.8198,0.9622,0.6068,486,467,19,635,415,185.94
KPI-000160,2026-04-02,Morning,MCH-001,Press Line A,Lansing Plant,480,377,102,0.7873,0.9562,0.956,0.7197,471,450,21,620,517,317.68
KPI-000161,2026-04-02,Afternoon,MCH-001,Press Line A,Flint Plant,480,454,25,0.9478,0.7517,0.9911,0.7061,215,213,2,675,302,175.67
KPI-000162,2026-04-02,Night,MCH-001,Press Line A,Flint Plant,480,389,90,0.8113,0.8729,0.9755,0.6908,442,431,11,670,439,196.76
KPI-000163,2026-04-01,Morning,MCH-001,Press Line A,Lansing Plant,480,392,87,0.8177,0.8524,0.9322,0.6498,532,495,37,536,438,153.37
KPI-000164,2026-04-01,Afternoon,MCH-001,Press Line A,Flint Plant,480,353,126,0.7361,0.7499,0.9989,0.5514,582,581,1,435,438,306.06
KPI-000165,2026-04-01,Night,MCH-001,Press Line A,Lansing Plant,480,447,32,0.9315,0.814,0.9793,0.7425,214,209,5,553,376,160.37
KPI-000166,2026-03-31,Morning,MCH-001,Press Line A,Flint Plant,480,430,49,0.8977,0.8353,0.9906,0.7428,208,206,2,409,448,239.52
KPI-000167,2026-03-31,Afternoon,MCH-001,Press Line A,Lansing Plant,480,412,67,0.8591,0.7649,0.9479,0.6229,326,309,17,560,528,163.94
KPI-000168,2026-03-31,Night,MCH-001,Press Line A,Flint Plant,480,452,27,0.9428,0.7508,0.9681,0.6853,303,293,10,513,403,313.4
KPI-000169,2026-03-30,Morning,MCH-001,Press Line A,Lansing Plant,480,428,51,0.8927,0.731,0.9202,0.6005,539,495,44,610,486,123.21
KPI-000170,2026-03-30,Afternoon,MCH-001,Press Line A,Lansing Plant,480,375,104,0.7813,0.8675,0.9944,0.674,542,538,4,534,504,184.65
KPI-000171,2026-03-30,Night,MCH-001,Press Line A,Flint Plant,480,348,131,0.7258,0.7203,0.9608,0.5023,565,542,23,651,408,155.25
KPI-000172,2026-03-29,Morning,MCH-001,Press Line A,Detroit Plant,480,409,70,0.8536,0.9524,0.9645,0.7841,439,423,16,684,456,197.89
KPI-000173,2026-03-29,Afternoon,MCH-001,Press Line A,Lansing Plant,480,405,74,0.8456,0.7735,0.9312,0.6091,448,417,31,520,502,242.72
KPI-000174,2026-03-29,Night,MCH-001,Press Line A,Flint Plant,480,388,91,0.8097,0.851,0.9426,0.6495,599,564,35,632,422,286.76
KPI-000175,2026-03-28,Morning,MCH-001,Press Line A,Flint Plant,480,411,68,0.8575,0.9692,0.9563,0.7948,380,363,17,490,464,241.26
KPI-000176,2026-03-28,Afternoon,MCH-001,Press Line A,Flint Plant,480,452,27,0.943,0.7645,0.9967,0.7185,418,416,2,634,513,314.58
KPI-000177,2026-03-28,Night,MCH-001,Press Line A,Detroit Plant,480,470,9,0.9809,0.8086,0.9908,0.7859,235,232,3,602,497,304.35
